"timestamp","model","command","latency_s","parsed_ok","tokens_in","tokens_out","tokens_total","json","raw"
"2025-08-27T00:37:56","openai/gpt-5","Go to the charging station","7.46","1","86","414","500","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""missing coordinates for charging station""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""missing coordinates for charging station""}"
"2025-08-27T00:38:02","openai/gpt-5","Go to the charging station","5.426","1","86","231","317","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location not specified. Provide target coordinates or station ID/name.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location not specified. Provide target coordinates or station ID/name.""}"
"2025-08-27T00:38:24","openai/gpt-5","Go to the charging station","22.916","1","86","495","581","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Missing coordinates or unique ID for 'charging station'; please provide target (x,y) or specify which station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Missing coordinates or unique ID for 'charging station'; please provide target (x,y) or specify which station.""}"
"2025-08-27T00:38:43","openai/gpt-5","Go to the charging station","18.367","1","86","679","765","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location not specified; please provide coordinates or identify which station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location not specified; please provide coordinates or identify which station.""}"
"2025-08-27T00:38:52","openai/gpt-5","Go to the charging station","9.596","1","86","359","445","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location unspecified—please provide target coordinates or the station name.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location unspecified—please provide target coordinates or the station name.""}"
"2025-08-27T00:39:14","openai/gpt-5","Move to the docking station","12.206","1","86","300","386","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Docking station location not specified. Provide coordinates or station ID/label.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Docking station location not specified. Provide coordinates or station ID/label.""}"
"2025-08-27T00:39:25","openai/gpt-5","Move to the docking station","11.452","1","86","489","575","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Docking station location unknown. Provide its (x,y) coordinates or identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Docking station location unknown. Provide its (x,y) coordinates or identifier.""}"
"2025-08-27T00:39:35","openai/gpt-5","Move to the docking station","9.829","1","86","422","508","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Docking station location unknown. Please provide its coordinates or identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Docking station location unknown. Please provide its coordinates or identifier.""}"
"2025-08-27T00:39:41","openai/gpt-5","Move to the docking station","6.042","1","86","231","317","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Docking station location not specified. Please provide its coordinates or ID.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Docking station location not specified. Please provide its coordinates or ID.""}"
"2025-08-27T00:39:51","openai/gpt-5","Move to the docking station","10.343","1","86","488","574","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Docking station location not provided; specify coordinates or a known station ID.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Docking station location not provided; specify coordinates or a known station ID.""}"
"2025-08-27T00:40:10","openai/gpt-5","Navigate to the table","9.02","1","85","422","507","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Ambiguous target; specify which table and its coordinates or identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Ambiguous target; specify which table and its coordinates or identifier.""}"
