"timestamp","model","command","latency_s","parsed_ok","tokens_in","tokens_out","tokens_total","json","raw"
"2025-08-28T08:12:53","openai/gpt-5","Go to the charging station","9.729","1","86","489","575","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Destination 'charging station' lacks coordinates; specify which one or provide x,y.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Destination 'charging station' lacks coordinates; specify which one or provide x,y.""}"
"2025-08-28T08:13:05","openai/gpt-5","Go to the charging station","11.469","1","86","490","576","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Charging station location not specified; please provide its coordinates or name.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Charging station location not specified; please provide its coordinates or name.""}"
"2025-08-28T08:13:10","openai/gpt-5","Go to the charging station","5.022","1","86","295","381","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location unknown; please provide coordinates or a map ID/label""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location unknown; please provide coordinates or a map ID/label""}"
"2025-08-28T08:13:16","openai/gpt-5","Go to the charging station","5.855","1","86","294","380","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location not specified; provide coordinates or select the station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location not specified; provide coordinates or select the station.""}"
"2025-08-28T08:13:21","openai/gpt-5","Go to the charging station","5.711","1","86","360","446","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location is unspecified; please provide its coordinates or name/ID.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location is unspecified; please provide its coordinates or name/ID.""}"
"2025-08-28T08:13:43","openai/gpt-5","Move to the docking station","10.239","1","86","300","386","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Docking station location is unspecified. Provide coordinates or select a known docking station ID/label.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Docking station location is unspecified. Provide coordinates or select a known docking station ID/label.""}"
"2025-08-28T08:13:50","openai/gpt-5","Move to the docking station","6.968","1","86","359","445","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Docking station location unknown; provide coordinates or select a known station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Docking station location unknown; provide coordinates or select a known station.""}"
"2025-08-28T08:14:00","openai/gpt-5","Move to the docking station","9.825","1","86","423","509","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Docking station location is unknown; please provide its coordinates or identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Docking station location is unknown; please provide its coordinates or identifier.""}"
"2025-08-28T08:14:08","openai/gpt-5","Move to the docking station","8.294","1","86","424","510","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Docking station location not specified; provide coordinates or select a known dock.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Docking station location not specified; provide coordinates or select a known dock.""}"
"2025-08-28T08:14:15","openai/gpt-5","Move to the docking station","6.861","1","86","360","446","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Unknown docking station location; please provide coordinates or identify which station to use.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Unknown docking station location; please provide coordinates or identify which station to use.""}"
"2025-08-28T08:14:34","openai/gpt-5","Navigate to the table","10.445","1","85","490","575","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Unknown table location; please provide coordinates or a specific table identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Unknown table location; please provide coordinates or a specific table identifier.""}"
"2025-08-28T08:14:49","openai/gpt-5","Navigate to the table","14.745","1","85","295","380","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Ambiguous target: specify which table or provide its coordinates or identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Ambiguous target: specify which table or provide its coordinates or identifier.""}"
"2025-08-28T08:14:59","openai/gpt-5","Navigate to the table","9.422","1","85","369","454","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Ambiguous target 'table' with no coordinates or map. Specify which table or provide goal coordinates/landmark reference.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Ambiguous target 'table' with no coordinates or map. Specify which table or provide goal coordinates/landmark reference.""}"
"2025-08-28T08:15:05","openai/gpt-5","Navigate to the table","6.302","1","85","306","391","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Missing goal coordinates for 'table'. Provide the table's (x,y) or a unique identifier/location.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Missing goal coordinates for 'table'. Provide the table's (x,y) or a unique identifier/location.""}"
