"timestamp","model","command","latency_s","parsed_ok","tokens_in","tokens_out","tokens_total","json","raw"
"2025-08-28T08:53:00","openai/gpt-5","Go to the charging station","7.961","1","86","357","443","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Unspecified charging station; please provide coordinates or station identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Unspecified charging station; please provide coordinates or station identifier.""}"
"2025-08-28T08:53:08","openai/gpt-5","Go to the charging station","7.756","1","86","422","508","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Unknown coordinates for 'charging station'. Provide its location or coordinates.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Unknown coordinates for 'charging station'. Provide its location or coordinates.""}"
"2025-08-28T08:53:19","openai/gpt-5","Go to the charging station","11.412","1","86","426","512","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Unknown 'charging station' location; please provide x,y coordinates or a station name.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Unknown 'charging station' location; please provide x,y coordinates or a station name.""}"
"2025-08-28T08:53:39","openai/gpt-5","Move to the docking station","7.577","1","86","363","449","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Docking station location not provided; please specify coordinates or station ID.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Docking station location not provided; please specify coordinates or station ID.""}"
"2025-08-28T08:53:47","openai/gpt-5","Move to the docking station","8.192","1","86","427","513","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Docking station location not specified; please provide its coordinates or identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Docking station location not specified; please provide its coordinates or identifier.""}"
"2025-08-28T08:53:56","openai/gpt-5","Move to the docking station","9.011","1","86","485","571","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Unknown docking station location; please provide coordinates or station identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Unknown docking station location; please provide coordinates or station identifier.""}"
"2025-08-28T08:54:16","openai/gpt-5","Go to the table","7.578","1","85","234","319","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Ambiguous goal 'table' with no location; specify which table or provide coordinates.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Ambiguous goal 'table' with no location; specify which table or provide coordinates.""}"
"2025-08-28T08:54:23","openai/gpt-5","Go to the table","7.476","1","85","361","446","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Ambiguous target: table location unspecified. Please specify which table or provide coordinates.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Ambiguous target: table location unspecified. Please specify which table or provide coordinates.""}"
"2025-08-28T08:54:37","openai/gpt-5","Go to the table","13.465","1","85","492","577","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Destination 'the table' lacks coordinates or identifier; please specify which table or provide x,y.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Destination 'the table' lacks coordinates or identifier; please specify which table or provide x,y.""}"
"2025-08-28T08:54:56","openai/gpt-5","Go to the foldable chair","10.343","1","87","428","515","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Unknown location for 'foldable chair'. Please specify which one or provide coordinates/landmark.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Unknown location for 'foldable chair'. Please specify which one or provide coordinates/landmark.""}"
